Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
25-04-2019,AXISBANK,EQ,752.85,754,758.55,738.55,741.3,740.9,747.98,10282068,7.69081E+14,134676,4787136,0.4656
26-04-2019,AXISBANK,EQ,740.9,762,765.15,747.25,757.4,759.9,756.85,23294204,1.76303E+15,237793,8979081,0.3855
30-04-2019,AXISBANK,EQ,759.9,759.95,769.7,755.8,765,766.85,764.69,12434805,9.50877E+14,163833,6203595,0.4989
02-05-2019,AXISBANK,EQ,766.85,765.4,767.8,748.05,751.95,752.35,759.27,7033021,5.33993E+14,118878,3653935,0.5195
03-05-2019,AXISBANK,EQ,752.35,754.15,763.8,753.45,754.9,757.3,758.82,5970814,4.53076E+14,139633,2636170,0.4415
06-05-2019,AXISBANK,EQ,757.3,746,753.4,744.1,748,747.45,748.59,5909936,4.42413E+14,110405,3340102,0.5652
07-05-2019,AXISBANK,EQ,747.45,751.85,755.5,740,744.85,741.85,748.48,5071941,3.79623E+14,141094,2404026,0.474
08-05-2019,AXISBANK,EQ,741.85,741.9,744.75,733.35,735.1,735.5,737.58,6739894,4.97121E+14,118950,3373685,0.5006
09-05-2019,AXISBANK,EQ,735.5,733.9,740.5,729.4,732.35,731,734.6,4193451,3.0805E+14,75621,1409191,0.336
10-05-2019,AXISBANK,EQ,731,734.4,738.5,729.5,732.55,735.05,735.71,3913815,2.87943E+14,114875,1569735,0.4011
13-05-2019,AXISBANK,EQ,735.05,734,742.85,730,732,732.1,736.74,5891071,4.34017E+14,142075,2615724,0.444
14-05-2019,AXISBANK,EQ,732.1,729.4,738.5,722.5,732.2,731.35,731.77,7049134,5.15835E+14,173149,3407311,0.4834
15-05-2019,AXISBANK,EQ,731.35,735.8,737.7,716.1,717.35,721.95,728.8,4849130,3.53404E+14,137346,2087259,0.4304
16-05-2019,AXISBANK,EQ,721.95,720.95,735,718.7,733.55,731.85,727.72,5142617,3.74236E+14,93557,1956007,0.3804
17-05-2019,AXISBANK,EQ,731.85,731.8,752.15,727.2,750.3,748.95,740.19,9072242,6.71522E+14,138079,4315608,0.4757
20-05-2019,AXISBANK,EQ,748.95,760.2,790.65,760.2,782.5,782.4,777.93,15866697,1.23432E+15,185366,9107718,0.574
21-05-2019,AXISBANK,EQ,782.4,789.7,791.8,771.05,773.1,772.95,781.48,9251548,7.2299E+14,175600,4957358,0.5358
22-05-2019,AXISBANK,EQ,772.95,774.8,784,770.2,778,779.15,779.54,5928186,4.62124E+14,95012,2751821,0.4642
23-05-2019,AXISBANK,EQ,779.15,788,804.3,770.6,776.15,776.4,790.45,14776218,1.16799E+15,188660,6675797,0.4518
24-05-2019,AXISBANK,EQ,776.4,779.45,795.9,778.5,791.65,793.2,788.24,9323114,7.34888E+14,144678,4635643,0.4972
